IDELEM,N,10,0;TIPO_ELEM,N,10,0;COD_CENT,C,254;NOMBRE,C,254;COORD_X,N,21,6;COORD_Y,N,21,6;Long;Lat
5534;495;61020;CARDENAL MARCELO SPI - (AV. PIO XII-CAIDOS DE LA DIVISION AZUL);443108.827280;4480032.386612;-3.67237092;40.46714482
5535;495;61022;PASEO DE LA HABANA - (MATEO INURRIA-COMANDANTE FRANCO);442538.151489;4480045.407680;-3.67910324;40.46722284
5536;495;61023;PASEO DE LA HABANA - (MENENDEZ PIDAL-COMANDANTE FRANCO);442505.772829;4479858.349507;-3.67946819;40.46553549
5537;495;61024;PASEO DE LA HABANA - (MACARENA-APOLONIO MORALES);442442.952093;4479523.265371;-3.68017872;40.46251254
5538;495;61025;PASEO DE LA HABANA - (JEREZ-MENEDEZ PIDAL);442513.416336;4479862.705744;-3.67937842;40.46557526
5539;495;61027;APOLONIO MORALES - (MENENDEZ PIDAL-PASEO DE LA HABANA);442411.965387;4479659.523968;-3.68055656;40.46373787
5540;495;61028;AV. DE PIO XII - (COMANDANTE FRANCO-JEREZ);442899.100505;4479989.072394;-3.67484075;40.46674023
5541;495;61029;AV. DE PIO XII - (COMANDANTE FRANCO-JEREZ);442826.831960;4479786.295471;-3.67567487;40.46490855
5542;495;61030;AV. DE PIO XII - (JEREZ-MACARENA);442795.662162;4479606.950202;-3.67602633;40.46329077
5543;495;61031;AV. PIO XII - (MACARENA-ALFONSO XIII);442762.388091;4479405.559698;-3.67640060;40.46147425
5544;495;61032;PRINCIPE DE VERGARA - (PZA. DEL PERU-PZA. REPUBLICA DOMINICANA);442734.581422;4479213.449322;-3.67671120;40.45974170
5545;495;61033;ALBERTO ALCOCER - (VICTOR ANDRES BELAUNDE-Pº HABANA O-S);442357.099870;4479089.187952;-3.68115183;40.45859620
5546;495;61034;PRINCIPE DE VERGARA - (POTOSI-PZA. REPUBLICA ECUADOR);442700.228747;4478855.072812;-3.67708398;40.45651090
