cod,nombre,Lat,Long,ocupacion,intensidad
5008,(AFOROS) ALCALA O-E - PL. CIBELES-PL. INDEPENDENCIA,40.419523,-3.691503,5,1900
5009,SERRANO N-S - GENERAL ORAA-DIEGO DE LEON,40.436157,-3.686444,39,1140
5010,SERRANO N-S - MALDONADO-JUAN BRAVO,40.433937,-3.686628,9,2100
5011,SERRANO N-S - VILLANUEVA-PL. INDEPENDENCIA,40.422052,-3.688396,4,1120
5012,GOYA 9 E-O - SERRANO-Pº CASTELLANA,40.425501,-3.688411,12,2160
5013,SERRANO N-S - PEDRO VALDIVIA-MARIA MOLINA,40.439063,-3.686180,11,2180
5014,HERMANOS BECQUER N-S - GENERAL ORAA-SERRANO,40.436016,-3.687354,21,560
5015,HERMANOS BECQUER S-N - SERRANO-GENERAL ORAA,40.436084,-3.687237,7,820
5016,SERRANO 84 N-S - PADILLA-JOSE ORTEGA Y GASSET,40.431420,-3.686813,11,2360
5017,AYALA E-O - SERRANO-Pº CASTELLANA,40.427907,-3.687878,11,340
5018,GOYA E-O - CLAUDIO COELLO-SERRANO,40.425372,-3.686755,6,1780
5019,ALCALA E-O - LAGASCA-CLAUDIO COELLO,40.420926,-3.688581,5,1300
5020,ALCALA E-O - LAGASCA-PL. INDEPENDENCIA,40.420568,-3.686184,8,2260
5021,ALFONSO XII S-N - MONTALBAN-PL. INDEPENDENCIA,40.418320,-3.688762,32,2640
5022,MARIA MOLINA O-E - CLAUDIO COELLO-LAGASCA,40.437738,-3.685855,5,640
5023,SERRANO N-S - GOYA-JORGE JUAN,40.425010,-3.687914,15,1060
5024,JORGE JUAN O-E - Pº CASTELLANA-SERRANO,40.424226,-3.689140,3,980
6001,JOAQUIN COSTA 26 O-E - PL. REPUBLICA ARGENTINA-VELAZQUEZ,40.443428,-3.683797,4,1900
6002,FRANCISCO SILVELA 76 S-N - MEJICO-COSLADA,40.436275,-3.676069,3,499
6004,PRINCIPE VERGARA 131 N-S - LOPEZ HOYOS-GOMEZ ORTEGA,40.442798,-3.678632,3,1120
6005,LOPEZ HOYOS 74 E-O - GOMEZ ORTEGA-PRINCIPE VERGARA,40.441979,-3.677444,5,600
6006,PRINCIPE VERGARA S-N - FRANCISCO SILVELA-LOPEZ HOYOS,40.440295,-3.678774,9,1240
6007,AV. AMERICA 23 N-S - CARTAGENA-FRANCISCO SILVELA,40.438659,3.675384,0,0
6008,PRINCIPE VERGARA 88 S-N - GENERAL ORAA-MARIA MOLINA,40.436274,-3.679183,13,1340
6009,MARIA MOLINA (DEBAJO TUNEL) O-E - SERRANO-VELAZQUEZ,40.437671,-3.684551,2,520
6010,VELAZQUEZ 135 S-N - OQUENDO-JOAQUIN COSTA,40.440826,-3.682836,6,1340
6012,PRINCIPE VERGARA 103 N-S - FRANCISCO SILVELA-MARIA MOLINA,40.438393,-3.679106,11,1140
6013,VELAZQUEZ S-N - MALDONADO-DIEGO DE LEON,40.434212,-3.683376,32,3020
6014,VELAZQUEZ S-N - GENERAL ORAA-MARIA MOLINA,40.436467,-3.683246,12,2680
6015,MARIA MOLINA E-O - VELAZQUEZ-LOPEZ HOYOS,40.437764,-3.683760,12,2740
6016,(AFOROS) VELAZQUEZ 24 S-N - JORGE JUAN-GOYA,40.424121,-3.684208,23,1920
6018,LOPEZ HOYOS 38 O-E  - PEDRO VALDIVIA-GTA. LOPEZ HOYOS,40.439422,-3.682235,16,680
6019,LOPEZ HOYOS 28 S-N - LAGASCA-VELAZQUEZ,40.438768,-3.683508,5,520
6020,VELAZQUEZ S-N (EN RT) - MARIA MOLINA-LOPEZ HOYOS,40.438063,-3.683054,5,1840
6021,MARIA MOLINA 40 O-E (EN RT) - VELAZQUEZ-NUÑEZ DE BALBOA,40.437575,-3.682615,18,1720
6022,JUAN BRAVO E-O - NUÑEZ DE BALBOA-VELAZQUEZ,40.432856,-3.682391,10,680
6023,JUAN BRAVO 8 O-E - CLAUDIO COELLO-LAGASCA,40.432826,-3.685004,29,780
6024,VELAZQUEZ 90 S-N (EN RT) - PADILLA-JUAN BRAVO,40.431890,-3.683567,15,2760
6025,VELAZQUEZ 74 S-N (EN RT) - DON RAMON CRUZ-ORTEGA Y GASSET,40.429437,-3.683784,12,2260
6026,LOPEZ HOYOS 27 N-S - GTA. LOPEZ HOYOS-VELAZQUEZ,40.440120,-3.681357,12,620
6027,MARIA MOLINA 31 E-O (EN RT) - NUÑEZ DE BALBOA-VELAZQUEZ,40.437655,-3.682170,39,1780
6028,MARIA MOLINA O-E - PRINCIPE VERGARA-GENERAL PARDIÑAS,40.437375,-3.678657,14,1820
6029,(MICRO) MARIA MOLINA E-O - FCO. SILVELA-PRINCIPE VERGARA,40.437466,-3.678319,11,1460
6030,FRANCISCO SILVELA N-S - PRINCIPE VERGARA-MARIA MOLINA,40.438086,-3.678336,25,1180
6031,DIEGO DE LEON E-O (EN RT) - CLAUDIO COELLO-SERRANO,40.435117,-3.685829,2,300
