"";"identif";"velocidad_media";"carga_media";"intensidad_total"
"340";"06030";0;34,2832228810603;2446825
"341";"47406";0;34,2472468916519;201872
"342";"PM12061";81,9066202090592;34,2212543554007;6621209
"343";"PM20721";82,8495297805643;34,1469871125044;8718188
"344";"09007";0;34,1338445451377;951226
"345";"PM20322";84,5823754789272;34,1316614420063;6591306
"346";"09024";0;34,1126613184513;2801368
"347";"16016";0;34,0295950155763;1849500
"348";"PM20571";86,2176941832114;34,0080111459422;6604298
"349";"17017";0;33,9916288803627;1474174
"350";"06037";0;33,9676716309481;1195827
"351";"PM10141";88,2090592334495;33,9606271777003;6548448
"352";"44033";0;33,95;0
"353";"06028";0;33,9493361285814;1865154
"354";"35031";0;33,9434752267969;538116
"355";"22304";0;33,9190775681342;2642449
"356";"02045";0;33,9076333217149;1473427
"357";"76008";0;33,9065647794373;1276408
"358";"PM20471";87,1720654824103;33,8975966562173;6584631
"359";"53414";0;33,8914027149321;612908
"360";"90037";0;33,8770668583753;718992
"361";"05021";0;33,8768472906404;457155
"362";"12007";0;33,8617176128093;2314284
"363";"01009";0;33,8451342867108;2755973
"364";"13023";0;33,7771189396582;1338536
"365";"35010";0;33,7331705615626;634550
"366";"22002";0;33,7215939687668;866786
"367";"90014";0;33,7108475758633;6333669
"368";"PM10862";78,784668989547;33,691637630662;6404447
"369";"06009";0;33,6560258249641;925121
"370";"22007";0;33,5857442348008;2774918
"371";"18309";0;33,5770571827057;1942539
"372";"05023";0;33,5701785089254;2167408
"373";"97021";0;33,5326902465166;2387363
"374";"13047";0;33,5172844648063;405491
"375";"PM20742";77,2358063392546;33,4409613375131;6165857
"376";"32016";0;33,4335542378793;552594
"377";"13031";0;33,4263782274948;3098289
"378";"13044";0;33,4171607952564;651555
"379";"18015";0;33,4093608103388;1643161
"380";"98001";0;33,392;618905
"381";"PM10502";76,4710801393728;33,3721254355401;10361864
"382";"97034";0;33,35;60
"383";"PM10442";76,38606271777;33,3487804878049;4021896
"384";"14007";0;33,3406708595388;1734617
"385";"22008";0;33,3320770519263;2526415
"386";"90043";0;33,3117480537863;1262255
"387";"90034";0;33,3102843102843;735487
"388";"PM40751";87,0480668756531;33,2772553117381;2275461
"389";"21009";0;33,2663404404055;2211057
"390";"PM20661";84,1772505233775;33,261688764829;6405956
"391";"17021";0;33,2590909090909;2324515
"392";"01007";0;33,2363826815642;2742124
"393";"82004";0;33,2355802640723;541823
"394";"17013";0;33,230554586676;2238532
"395";"06025";0;33,2056762438683;3723592
"396";"96300";0;33,1617080854043;217624
"397";"21012";0;33,1592148309706;1883572
"398";"05020";0;33,1576371897938;3306288
"399";"55413";0;33,1411641686999;270425
"400";"44023";0;33,1291448516579;1789365
"401";"45401";0;33,0527961097603;413665
"402";"71003";0;33;1479435
"403";"98024";0;32,943730461966;1420587
"404";"38037";0;32,9197994987469;601930
"405";"11019";0;32,9061737007325;1264007
"406";"63052";0;32,903213610586;1669673
"407";"53016";0;32,8711358110455;395872
"408";"41040";0;32,8545526212061;477895
"409";"02022";0;32,8249040809208;2297390
"410";"67402";0;32,8069989395546;508558
"411";"41035";0;32,7744961779013;2179105
"412";"41033";0;32,7481764501563;2509857
"413";"90017";0;32,7234042553191;1820987
"414";"43026";0;32,7175732217573;478291
"415";"82017";0;32,6994440583739;672164
"416";"09002";0;32,6736842105263;2036019
"417";"02051";0;32,663297316138;1494966
"418";"PM40461";85,4121951219512;32,6567944250871;8270542
"419";"13022";0;32,6351587024765;825905
"420";"PM41451";73,4878048780488;32,6303135888502;6119389
"421";"35029";0;32,6120027913468;424624
"422";"21031";0;32,5720767888307;255410
"423";"97595";0;32,5593279663983;1733236
"424";"79018";0;32,5512405609493;951367
"425";"PM20662";76,599442702891;32,5384883315918;7958135
"426";"15003";0;32,5355871886121;2807873
"427";"63043";0;32,5217391304348;17849
"428";"PM20321";85,115331010453;32,5160278745645;6218412
"429";"33002";0;32,5149724192277;460004
"430";"16043";0;32,5119863013699;666936
"431";"41041";0;32,4416261292564;1486998
"432";"97521";0;32,4415862808146;1059355
"433";"54027";0;32,4404307051059;466205
"434";"PM11201";82,3550522648084;32,4236933797909;8212797
"435";"82021";0;32,4103544127867;1225222
"436";"PM20261";87,8334494773519;32,4073170731707;6184156
"437";"18012";0;32,4071229050279;3798528
"438";"05018";0;32,3906633906634;2150516
"439";"PM10211";88,2003484320557;32,3752613240418;6137113
"440";"41010";0;32,351832460733;968133
"441";"PM33151";61,3591083246256;32,3368164402647;3527487
"442";"21016";0;32,3168178646197;1660566
"443";"06021";0;32,3039078855548;2307611
"444";"06024";0;32,2947331705616;3549470
"445";"09018";0;32,2747210465564;1295419
"446";"PM20231";86,6940766550523;32,2540069686411;6148256
"447";"47407";0;32,2508771929825;185205
"448";"10032";0;32,2249738402511;1221683
"449";"PM10401";86,2682926829268;32,2226480836237;8195513
"450";"21025";0;32,2059765208111;261142
"451";"13057";0;32,2019532612487;3653415
"452";"02004";0;32,1896131056117;318453
"453";"PM10241";90,6268292682927;32,180487804878;6043987
"454";"44003";0;32,1730164278224;1933041
"455";"06001";0;32,1544217687075;2049725
"456";"09019";0;32,1477866852562;1975887
"457";"82020";0;32,1449982572325;589128
"458";"15002";0;32,1192076406084;3089313
"459";"10030";0;32,1163522012579;332107
"460";"21022";0;32,0993723849372;4814601
"461";"PM31452";83,9324938789787;32,0685554389647;8198507
"462";"13004";0;32,0587201125176;2828249
"463";"02026";0;32,0529986052999;269953
"464";"14011";0;32,0379455730165;1956834
"465";"45017";0;32,0347463516331;1164864
"466";"61001";0;32,002800140007;2028650
"467";"61109";0;31,9968509447166;2471050
"468";"56406";0;31,9887125220459;241182
"469";"09010";0;31,9564147627417;1953573
"470";"14013";0;31,9333565945569;2632542
"471";"PM43223";60,6941463414634;31,9175609756098;1403805
"472";"48098";0;31,888062345023;267030
"473";"02055";0;31,8459657701711;2874645
"474";"82022";0;31,8363446838082;1210449
"475";"56403";0;31,8066202090592;169651
"476";"PM43001";79,0902753572673;31,8009759498083;5346963
"477";"45016";0;31,7986787204451;762908
"478";"11022";0;31,7846435100548;559367
"479";"71404";0;31,7748747315676;282871
"480";"19010";0;31,7730916695713;418568
"481";"81012";0;31,7450157397692;1351853
"482";"12017";0;31,6647605432452;997094
"483";"PM20412";79,3923344947735;31,6512195121951;6026430
"484";"79026";0;31,6400575332614;2561083
"485";"19002";0;31,6374432413552;1703751
"486";"85006";0;31,6336879432624;1672104
"487";"PM43151";60,7516544757924;31,6318355973528;5812354
"488";"PM30461";77,5633852691218;31,6271246458924;7814199
"489";"18305";0;31,6096200766818;2679701
"490";"46413";0;31,5998608211552;399814
"491";"11011";0;31,5853658536585;26538
"492";"PM20952";71,9344947735192;31,5595818815331;5643516
"493";"PM33031";84,2706582633053;31,5385154061625;3646246
"494";"23013";0;31,5267015706806;1253130
"495";"63007";0;31,5061728395062;1861215
"496";"34011";0;31,4931984652947;737240
"497";"PM10712";84,3815331010453;31,4519163763066;6077721
"498";"41046";0;31,4233365477338;277571
"499";"01005";0;31,3953813855843;3860828
"500";"07013";0;31,3846153846154;20
"501";"63027";0;31,3791034239322;5307761
"502";"34007";0;31,3201953261249;778167
"503";"97106";0;31,3085774058577;2809832
"504";"11005";0;31,287260034904;1035440
"505";"83006";0;31,2726641194859;2200996
"506";"41034";0;31,2697924673328;911965
"507";"70403";0;31,269392033543;252070
"508";"17002";0;31,2521799790722;2139185
"509";"87023";0;31,2348037513025;1103200
"510";"63053";0;31,2206141899047;2689130
"511";"97006";0;31,2136632973161;504245
"512";"PM21231";81,5182300884956;31,2102654867257;3938607
"513";"44010";0;31,1964924838941;1538861
"514";"PM11074";64,6324607329843;31,183595113438;1915607
"515";"02037";0;31,1634715928895;3669844
"516";"02053";0;31,1473859844271;495907
"517";"50030";0;31,1437677053824;207257
"518";"97037";0;31,1245204046041;1356340
"519";"14005";0;31,1121593291405;1571043
"520";"13019";0;31,0848167539267;2323573
"521";"13049";0;31,0563725490196;534593
"522";"16054";0;31,0339954163484;1118926
"523";"62024";0;31;6400
"524";"90038";0;30,9766061452514;504365
"525";"22009";0;30,9731430969366;3724721
"526";"17038";0;30,9727843684578;638704
"527";"13027";0;30,9554073033708;4640668
"528";"70504";0;30,9506266616027;1318542
"529";"97002";0;30,9333333333333;1323
"530";"PM41801";71,527304964539;30,8992907801418;5715385
"531";"31064";0;30,8967809657103;1403486
"532";"60087";0;30,8552447552448;359068
"533";"PM13103";78,8522648083624;30,8421602787456;3485652
"534";"13032";0;30,8419399860433;1513819
"535";"14012";0;30,8311824206488;557506
"536";"09036";0;30,8059558117195;459558
"537";"PM10212";82,9094076655052;30,7564459930314;5870993
"538";"05004";0;30,7370810055866;4072284
"539";"15306";0;30,7322751322751;1420063
"540";"11026";0;30,7293049249039;1255126
"541";"79526";0;30,7039610840862;1447119
"542";"55032";0;30,6994078718217;946020
"543";"01014";0;30,6747198879552;2402779
"544";"01006";0;30,6300699300699;3442357
"545";"55404";0;30,6055889635656;257334
"546";"98020";0;30,6033344911428;1193782
"547";"11004";0;30,5915591210324;1722927
"548";"08007";0;30,5883967071737;280229
"549";"67407";0;30,5833912439194;164677
"550";"21007";0;30,5724258289703;660359
"551";"63553";0;30,5544589354952;1302272
"552";"63028";0;30,5424445227193;1286807
"553";"22003";0;30,5309882747069;1566420
"554";"41002";0;30,5;2379
"555";"62068";0;30,4994675186368;832074
"556";"PM12241";83,9282229965157;30,4937282229965;5844261
"557";"85003";0;30,4854196301565;963633
"558";"44002";0;30,4753330932661;2311977
"559";"06002";0;30,4693047337278;1061853
"560";"14036";0;30,4690451206716;882702
"561";"49035";0;30,4494264859228;807700
"562";"90045";0;30,4224250325945;222790
"563";"46410";0;30,4217118997912;287909
"564";"17042";0;30,4000697593303;3647042
"565";"47034";0;30,3959708232025;2004760
"566";"17016";0;30,3941402162539;2081826
"567";"60053";0;30,3859649122807;33711
"568";"24024";0;30,3675600417682;405169
"569";"71023";0;30,3599706744868;963381
"570";"19011";0;30,3578653644925;2948249
"571";"21024";0;30,3434449093445;1416946
"572";"97594";0;30,3411938098747;1676304
"573";"01008";0;30,3266455473425;804345
"574";"10025";0;30,2976482976483;313616
"575";"13028";0;30,2959971910112;4639258
"576";"05017";0;30,2902097902098;480070
"577";"PM20021";92,8975609756097;30,287456445993;5918058
"578";"34037";0;30,2794853466762;373993
"579";"PM10562";79,3192602930914;30,2637822749477;7328682
"580";"35035";0;30,2622950819672;1530481
"581";"12001";0;30,2588071154517;3822481
"582";"16012";0;30,2283856159143;302159
"583";"44503";0;30,208318769661;1122386
"584";"01011";0;30,2039818372337;2813554
"585";"24018";0;30,1971288515406;701640
"586";"PM33221";92,0999651689307;30,19644723093;3917556
"587";"09030";0;30,155275148966;1095312
"588";"97104";0;30,142358688067;1586507
"589";"PM12211";87,6797909407666;30,1397212543554;5852459
"590";"96002";0;30,139631816603;2250576
"591";"85004";0;30,131914893617;2463313
"592";"06013";0;30,1309065453273;3627210
"593";"42023";0;30,1083709621396;1016723
"594";"62076";0;30,0998223801066;2089994
"595";"55027";0;30,0789584208316;999989
"596";"44013";0;30,0410577592206;851008
"597";"20005";0;30,0310212617637;486954
"598";"17022";0;30,0219895287958;2530022
"599";"21021";0;30,0101115760112;2071793
"600";"32027";0;30,0055807464248;773355
"601";"21004";0;29,9947643979058;1408891
"602";"01004";0;29,989080662205;3189651
"603";"48504";0;29,9847116052814;1022386
"604";"20004";0;29,9769794209976;2091803
"605";"32013";0;29,9689570980119;556251
"606";"20006";0;29,9585221331474;782931
"607";"13033";0;29,9528631284916;208950
"608";"97065";0;29,9444638491093;1449504
"609";"09032";0;29,9431857790171;229222
"610";"97103";0;29,9250087199163;695968
