EstCod,Par,Tec,Pe,Datum,NO2
28079004,8,8,2,vie 19-09 13,26
28079004,8,8,2,vie 19-09 14,21
28079004,8,8,2,vie 19-09 15,28
28079004,8,8,2,vie 19-09 16,27
28079004,8,8,2,vie 19-09 17,22
28079004,8,8,2,vie 19-09 18,22
28079004,8,8,2,vie 19-09 19,25
28079004,8,8,2,vie 19-09 20,55
28079004,8,8,2,vie 19-09 21,45
28079004,8,8,2,vie 19-09 22,46
28079004,8,8,2,vie 19-09 23,50
28079004,8,8,2,sáb 20-09 00,58
28079004,8,8,2,sáb 20-09 01,48
28079004,8,8,2,sáb 20-09 02,33
28079004,8,8,2,sáb 20-09 03,23
28079004,8,8,2,sáb 20-09 04,20
28079004,8,8,2,sáb 20-09 05,17
28079004,8,8,2,sáb 20-09 06,23
28079004,8,8,2,sáb 20-09 07,18
28079004,8,8,2,sáb 20-09 08,16
28079004,8,8,2,sáb 20-09 09,25
28079004,8,8,2,sáb 20-09 10,35
28079004,8,8,2,sáb 20-09 11,28
28079004,8,8,2,sáb 20-09 12,25
28079004,8,8,2,sáb 20-09 13,27
28079004,8,8,2,sáb 20-09 14,17
28079004,8,8,2,sáb 20-09 15,9
28079004,8,8,2,sáb 20-09 16,13
28079004,8,8,2,sáb 20-09 17,21
28079004,8,8,2,sáb 20-09 18,22
28079004,8,8,2,sáb 20-09 19,30
28079004,8,8,2,sáb 20-09 20,78
28079004,8,8,2,sáb 20-09 21,81
28079004,8,8,2,sáb 20-09 22,94
28079004,8,8,2,sáb 20-09 23,80
28079004,8,8,2,dom 21-09 00,64
28079004,8,8,2,dom 21-09 01,58
28079004,8,8,2,dom 21-09 02,29
28079004,8,8,2,dom 21-09 03,34
28079004,8,8,2,dom 21-09 04,47
28079004,8,8,2,dom 21-09 05,45
28079004,8,8,2,dom 21-09 06,30
28079004,8,8,2,dom 21-09 07,31
28079004,8,8,2,dom 21-09 08,36
28079004,8,8,2,dom 21-09 09,16
28079004,8,8,2,dom 21-09 10,15
28079004,8,8,2,dom 21-09 11,27
28079004,8,8,2,dom 21-09 12,29
28079004,8,8,2,dom 21-09 13,29
28079004,8,8,2,dom 21-09 14,22
28079004,8,8,2,dom 21-09 15,15
28079004,8,8,2,dom 21-09 16,14
28079004,8,8,2,dom 21-09 17,24
28079004,8,8,2,dom 21-09 18,29
28079004,8,8,2,dom 21-09 19,42
28079004,8,8,2,dom 21-09 20,67
28079004,8,8,2,dom 21-09 21,37
28079004,8,8,2,dom 21-09 22,41
28079004,8,8,2,dom 21-09 23,16
28079004,8,8,2,lun 22-09 00,6
28079004,8,8,2,lun 22-09 01,10
28079004,8,8,2,lun 22-09 02,11
28079004,8,8,2,lun 22-09 03,11
28079004,8,8,2,lun 22-09 04,8
28079004,8,8,2,lun 22-09 05,10
28079004,8,8,2,lun 22-09 06,25
28079004,8,8,2,lun 22-09 07,45
28079004,8,8,2,lun 22-09 08,45
28079004,8,8,2,lun 22-09 09,55
28079004,8,8,2,lun 22-09 10,57
28079004,8,8,2,lun 22-09 11,47
28079004,8,8,2,lun 22-09 12,39
28079004,8,8,2,lun 22-09 13,39
28079004,8,8,2,lun 22-09 14,38
28079004,8,8,2,lun 22-09 15,33
28079004,8,8,2,lun 22-09 16,24
28079004,8,8,2,lun 22-09 17,24
28079004,8,8,2,lun 22-09 18,31
28079004,8,8,2,lun 22-09 19,31
28079004,8,8,2,lun 22-09 20,37
28079004,8,8,2,lun 22-09 21,48
28079004,8,8,2,lun 22-09 22,38
28079004,8,8,2,lun 22-09 23,34
28079004,8,8,2,mar 23-09 00,22
28079004,8,8,2,mar 23-09 01,12
28079004,8,8,2,mar 23-09 02,10
28079004,8,8,2,mar 23-09 03,9
28079004,8,8,2,mar 23-09 04,9
28079004,8,8,2,mar 23-09 05,13
28079004,8,8,2,mar 23-09 06,17
28079004,8,8,2,mar 23-09 07,34
28079004,8,8,2,mar 23-09 08,38
28079004,8,8,2,mar 23-09 09,40
28079004,8,8,2,mar 23-09 10,47
28079004,8,8,2,mar 23-09 11,44
28079004,8,8,2,mar 23-09 12,31
28079004,8,8,2,mar 23-09 13,28
28079004,8,8,2,mar 23-09 14,22
28079004,8,8,2,mar 23-09 15,18
28079004,8,8,2,mar 23-09 16,16
28079004,8,8,2,mar 23-09 17,21
28079004,8,8,2,mar 23-09 18,29
28079004,8,8,2,mar 23-09 19,39
28079004,8,8,2,mar 23-09 20,27
28079004,8,8,2,mar 23-09 21,48
28079004,8,8,2,mar 23-09 22,43
28079004,8,8,2,mar 23-09 23,35
28079004,8,8,2,mié 24-09 00,33
28079004,8,8,2,mié 24-09 01,18
28079004,8,8,2,mié 24-09 02,19
28079004,8,8,2,mié 24-09 03,36
28079004,8,8,2,mié 24-09 04,34
28079004,8,8,2,mié 24-09 05,9
28079004,8,8,2,mié 24-09 06,6
28079004,8,8,2,mié 24-09 07,38
28079004,8,8,2,mié 24-09 08,70
28079004,8,8,2,mié 24-09 09,71
28079004,8,8,2,mié 24-09 10,59
28079004,8,8,2,mié 24-09 11,42
28079004,8,8,2,mié 24-09 12,34
28079004,8,8,2,mié 24-09 13,29
28079004,8,8,2,mié 24-09 14,26
28079004,8,8,2,mié 24-09 15,23
28079004,8,8,2,mié 24-09 16,29
28079004,8,8,2,mié 24-09 17,40
28079004,8,8,2,mié 24-09 18,43
28079004,8,8,2,mié 24-09 19,79
28079004,8,8,2,mié 24-09 20,65
28079004,8,8,2,mié 24-09 21,71
28079004,8,8,2,mié 24-09 22,65
28079004,8,8,2,mié 24-09 23,45
28079004,8,8,2,jue 25-09 00,20
28079004,8,8,2,jue 25-09 01,12
28079004,8,8,2,jue 25-09 02,7
28079004,8,8,2,jue 25-09 03,6
28079004,8,8,2,jue 25-09 04,5
28079004,8,8,2,jue 25-09 05,6
28079004,8,8,2,jue 25-09 06,12
28079004,8,8,2,jue 25-09 07,25
28079004,8,8,2,jue 25-09 08,47
28079004,8,8,2,jue 25-09 09,42
28079004,8,8,2,jue 25-09 10,35
28079004,8,8,2,jue 25-09 11,28
28079004,8,8,2,jue 25-09 12,25
28079004,8,8,2,jue 25-09 13,21
28079004,8,8,2,jue 25-09 14,22
28079004,8,8,2,jue 25-09 15,25
28079004,8,8,2,jue 25-09 16,25
28079004,8,8,2,jue 25-09 17,25
28079004,8,8,2,jue 25-09 18,31
28079004,8,8,2,jue 25-09 19,50
28079004,8,8,2,jue 25-09 20,82
28079004,8,8,2,jue 25-09 21,107
28079004,8,8,2,jue 25-09 22,86
28079004,8,8,2,jue 25-09 23,48
28079004,8,8,2,vie 26-09 00,68
28079004,8,8,2,vie 26-09 01,57
28079004,8,8,2,vie 26-09 02,39
28079004,8,8,2,vie 26-09 03,15
28079004,8,8,2,vie 26-09 04,16
28079004,8,8,2,vie 26-09 05,17
28079004,8,8,2,vie 26-09 06,21
28079004,8,8,2,vie 26-09 07,38
28079004,8,8,2,vie 26-09 08,60
28079004,8,8,2,vie 26-09 09,61
28079004,8,8,2,vie 26-09 10,58
28079004,8,8,2,vie 26-09 11,62
28079004,8,8,2,vie 26-09 12,43
28079004,8,8,2,vie 26-09 13,37
28079004,8,8,2,vie 26-09 14,40
28079004,8,8,2,vie 26-09 15,38
28079004,8,8,2,vie 26-09 16,30
28079004,8,8,2,vie 26-09 17,32
28079004,8,8,2,vie 26-09 18,55
28079004,8,8,2,vie 26-09 19,58
28079004,8,8,2,vie 26-09 20,86
28079004,8,8,2,vie 26-09 21,117
28079004,8,8,2,vie 26-09 22,115
28079004,8,8,2,vie 26-09 23,93
28079004,8,8,2,sáb 27-09 00,76
28079004,8,8,2,sáb 27-09 01,77
28079004,8,8,2,sáb 27-09 02,56
28079004,8,8,2,sáb 27-09 03,42
28079004,8,8,2,sáb 27-09 04,26
28079004,8,8,2,sáb 27-09 05,24
28079004,8,8,2,sáb 27-09 06,22
28079004,8,8,2,sáb 27-09 07,27
28079004,8,8,2,sáb 27-09 08,32
28079004,8,8,2,sáb 27-09 09,28
28079004,8,8,2,sáb 27-09 10,28
28079004,8,8,2,sáb 27-09 11,26
28079004,8,8,2,sáb 27-09 12,25
28079004,8,8,2,sáb 27-09 13,29
28079004,8,8,2,sáb 27-09 14,27
28079004,8,8,2,sáb 27-09 15,21
28079004,8,8,2,sáb 27-09 16,21
28079004,8,8,2,sáb 27-09 17,38
28079004,8,8,2,sáb 27-09 18,44
28079004,8,8,2,sáb 27-09 19,56
28079004,8,8,2,sáb 27-09 20,60
28079004,8,8,2,sáb 27-09 21,50
28079004,8,8,2,sáb 27-09 22,43
28079004,8,8,2,sáb 27-09 23,28
28079004,8,8,2,dom 28-09 00,22
28079004,8,8,2,dom 28-09 01,34
28079004,8,8,2,dom 28-09 02,39
28079004,8,8,2,dom 28-09 03,26
28079004,8,8,2,dom 28-09 04,23
28079004,8,8,2,dom 28-09 05,27
28079004,8,8,2,dom 28-09 06,25
28079004,8,8,2,dom 28-09 07,22
28079004,8,8,2,dom 28-09 08,26
